std.pitch5,d_var5,v_var5
74.0,0.0101940104,11.04
46.0,0.0013127604,13.04
77.0,0.0005027778,16.16
58.0,0.0024321832,94.75
67.0,0.004866059,15.2
82.0,0.0271087674,48.0
81.0,9.31424e-05,24.8
79.0,2.73437e-05,2.64
46.0,0.0002788628,309.5
50.0,2.25694e-05,68.16
65.0,0.0004155382,107.84
70.0,0.0111501736,7.84
77.0,0.000709375,10.56
86.0,0.0003356771,3.44
62.0,0.0010321045,14.6875
60.0,0.0235117187,4.16
58.0,0.0001310764,4.4
42.0,0.0007927951,33.36
48.0,0.0029290799,23.04
62.0,0.0,0.0
69.0,0.0005498589,4.25
63.0,0.0160523437,30.64
75.0,0.0106664361,17.5
57.0,0.0225796007,2.16
58.0,0.0329447049,40.8
74.0,1.36285e-05,8.96
72.0,0.0002336806,80.64
43.0,9.375e-05,68.0
50.0,0.000116059,41.04
70.0,0.0004920139,42.16
62.0,0.0011486979,24.4
58.0,0.0008764757,37.44
57.0,0.0002317708,53.84
55.0,7.83854e-05,102.96
39.0,0.001422309,28.64
62.0,0.0241290799,23.76
70.0,0.0009836155,37.5
63.0,0.0413444445,104.96
66.0,0.003383941,31.84
54.0,0.0042094618,100.56
65.0,3.41797e-05,0.75
62.0,0.050540568,118.6875
63.0,0.0343636671,17.5555555556
60.0,0.0020938449,8.25
62.0,0.0478125,172.4
65.0,0.0005059136,1.0
84.0,0.0003296875,1.84
58.0,0.0032322049,122.24
41.0,0.1491768229,58.24
53.0,0.0240361979,169.36
60.0,0.0047346354,12.56
57.0,8.77701e-05,10.8888888889
58.0,0.0046688368,14.96
55.0,0.0005644965,22.16
57.0,0.1066296007,20.64
65.0,0.074540625,61.44
63.0,0.1453578993,38.96
54.0,0.0007789062,13.84
53.0,0.0015420871,47.1875
41.0,0.0128833008,17.5
50.0,0.0021388889,43.76
57.0,0.1691834201,68.56
48.0,0.3238717312,75.1875
63.0,0.0787773438,205.84
65.0,0.0575918918,20.25
65.0,0.04996148,134.75
63.0,0.0621631462,4.2222222222
48.0,0.3198671393,82.6666666667
58.0,0.0001312934,30.25
57.0,0.2138717689,274.8888888889
53.0,0.0005015734,16.0
46.0,0.0718781347,133.5555555556
65.0,0.0028523085,42.75
58.0,0.0020691069,8.2222222222
62.0,0.0019517008,75.5
,,
,,
,,
,,
62.0,0.0001085069,0.0
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
82.0,0.044100434,6.0
,,
,,
,,
46.0,0.0227063368,107.36
62.0,0.0003149306,38.64
82.0,0.0240249132,90.24
63.0,0.0005388889,180.56
58.0,0.0006590278,57.44
81.0,0.0004771701,51.84
79.0,0.0001000868,8.24
78.0,0.0024110243,4.56
58.0,0.0002579861,7.2
63.0,0.0001489258,29.6875
55.0,0.0011469618,19.76
63.0,7.53472e-05,44.16
58.0,0.000834809,4.24
59.0,0.0002028646,32.8
81.0,0.0002749132,4.0
79.0,0.0001228299,5.04
63.0,0.0011922201,18.75
71.0,0.000306684,11.04
60.0,0.004850434,19.04
53.0,0.0003322917,36.24
74.0,0.3270494792,8.24
57.0,0.0003209201,59.44
72.0,0.0105766493,16.56
62.0,0.001672309,20.96
46.0,0.0004250868,8.64
74.0,2.71267e-05,0.25
62.0,0.0006820313,54.64
58.0,0.0027024306,9.44
72.0,0.0002727431,10.0
50.0,0.0002051215,100.16
58.0,0.000522309,25.36
62.0,0.0022697917,64.24
62.0,0.0029882813,29.84
70.0,0.0020698785,5.2
53.0,0.000603559,12.4
58.0,0.0057452257,16.64
62.0,0.003425293,29.6875
74.0,0.0002547743,12.24
58.0,0.0044328993,33.44
69.0,0.0002243924,2.96
62.0,0.0032875,95.04
58.0,0.0004950328,24.6666666667
67.0,0.1905375,95.04
75.0,0.0008965278,12.24
48.0,0.0005490451,31.6
58.0,0.0022315104,11.76
67.0,0.1933191069,26.0
63.0,0.0001034722,10.64
60.0,0.0885842014,38.16
60.0,0.1410158963,100.0
63.0,0.2449302952,235.36
55.0,0.1970802951,20.56
72.0,0.0036069743,3.5
60.0,0.0004340278,49.0
63.0,0.0005221897,86.1875
74.0,0.0010575521,5.04
79.0,0.0040818576,8.4
70.0,0.0005438368,36.8
75.0,9.57465e-05,3.84
69.0,0.0015876736,172.56
53.0,0.0002703993,10.24
79.0,0.0007485243,0.56
72.0,0.0822632812,10.64
63.0,0.0003575907,90.8888888889
77.0,0.0005375,8.0
57.0,0.0001147569,3.36
74.0,0.1014438368,112.0
62.0,0.0005787326,19.84
46.0,0.0951047743,25.44
62.0,0.0017012153,58.8
58.0,0.0007569444,16.96
53.0,0.0003790799,1.84
62.0,0.0001863715,22.8
58.0,0.0005447049,40.56
79.0,0.0023912326,41.84
58.0,0.0329646132,7.6875
62.0,0.0185277778,21.76
77.0,0.0003259549,30.64
58.0,0.0003938368,69.84
62.0,0.002128424,80.2222222222
58.0,0.0283427373,11.5555555556
86.0,0.0014181424,1.84
54.0,0.0010662326,51.2
84.0,0.1048648438,11.76
82.0,0.0003240967,4.6875
51.0,0.0003836806,116.24
55.0,0.004672309,25.36
70.0,0.0008118731,3.5555555556
75.0,0.0004890046,4.2222222222
