,db(lab),db(audi),duration(lab),duration(audi),,
0,51.93714523,57.61553955,0.13,0.22,-0.09,-5.678394318
1,52.71409988,58.19432068,0.11,0.23,-0.12,-5.480220795
2,52.47544861,67.85533905,0.11,0.28,-0.17,-15.37989044
3,53.23501968,68.91247559,0.11,0.35,-0.24,-15.6774559
4,54.89557266,59.88515091,0.13,0.2,-0.07,-4.989578247
5,52.23074341,58.26680374,0.11,0.23,-0.12,-6.036060333
6,53.89836884,59.35906982,0.11,0.28,-0.17,-5.460700989
7,51.74685669,59.03881073,0.11,0.32,-0.21,-7.291954041
8,54.06472778,62.29829407,0.11,0.2,-0.09,-8.233566284
9,54.4487915,61.17838669,0.11,0.27,-0.16,-6.729595184
10,55.66612244,62.46644592,0.18,0.44,-0.26,-6.800323486
11,55.34444809,63.55117035,0.15,0.77,-0.62,-8.20672226
12,57.58259583,74.53601074,0.15,0.25,-0.1,-16.95341492
13,59.02937698,67.92098999,0.24,0.32,-0.08,-8.891613007
14,59.26872635,68.54042816,0.24,0.5,-0.26,-9.271701813
15,62.89468002,66.85128784,0.24,0.81,-0.57,-3.956607819
16,60.59537506,68.43859863,0.21,0.32,-0.11,-7.843223572
17,62.16363525,68.221138,0.28,0.35,-0.07,-6.057502747
18,61.25717926,67.7933197,0.41,0.53,-0.12,-6.536140442
19,64.55741882,68.16046143,0.67,0.89,-0.22,-3.603042603
20,65.44441223,70.65852356,0.31,0.37,-0.06,-5.214111328
21,65.24227905,69.87081146,0.38,0.42,-0.04,-4.62853241
22,66.05562592,70.50772095,0.53,0.59,-0.06,-4.452095032
23,68.22186279,69.99597931,0.89,0.93,-0.04,-1.774116516
24,68.36592865,72.88423157,0.48,0.4,0.08,-4.518302917
25,69.00931549,72.48982239,0.57,0.47,0.1,-3.480506897
26,68.99742126,73.01037598,0.63,0.63,0,-4.012954712
27,71.04347229,72.72119904,1,0.99,0.01,-1.677726746
28,71.88536072,76.00295258,0.67,0.47,0.2,-4.117591858
29,72.00639343,75.23975372,0.62,0.53,0.09,-3.233360291
30,71.52445984,75.35256958,0.73,0.67,0.06,-3.828109741
31,70.29676819,76.10203552,1,1,0,-5.805267334
32,73.04575348,79.45405579,0.63,0.55,0.08,-6.408302307
33,72.14428711,79.41953278,0.62,0.59,0.03,-7.275245667
34,71.89060974,79.44783783,0.84,0.7,0.14,-7.557228088
35,71.84257507,79.5366745,1,1,0,-7.694099426
36,72.62997437,82.31938171,0.81,0.62,0.19,-9.689407349
37,73.67195892,82.19863129,0.9,0.65,0.25,-8.526672363
38,73.37831116,82.01609802,1,0.77,0.23,-8.637786865
39,76.15002441,82.28735352,1,1,0,-6.137329102
40,76.33569336,85.19400024,1,0.72,0.28,-8.858306885
41,76.63968658,84.85150146,1,0.74,0.26,-8.21181488
42,75.99830627,85.0764389,1,0.84,0.16,-9.078132629
43,77.45640564,85.17599487,1,1,0,-7.719589233
44,78.74590302,86.72843933,1,0.72,0.28,-7.982536316
45,77.7589798,86.71839142,1,0.77,0.23,-8.959411621
46,77.99890137,86.79929352,1,0.92,0.08,-8.800392151
47,79.56143951,86.82951355,1,1,0,-7.268074036
48,79.86190033,88.42716217,1,0.8,0.2,-8.565261841
49,79.08528137,88.55296326,1,0.81,0.19,-9.467681885
50,79.07636261,88.41310883,1,0.95,0.05,-9.336746216
51,78.83403015,88.42016602,1,1,0,-9.586135864
52,77.0877533,88.14635468,1,0.81,0.19,-11.05860138
53,78.66274261,88.51740265,1,0.81,0.19,-9.854660034
54,78.29219055,88.4571991,1,0.95,0.05,-10.16500854
55,78.83372498,88.36100769,1,1,0,-9.527282715
56,78.98902893,88.26096344,1,0.8,0.2,-9.271934509
57,79.44075775,88.47519684,1,0.81,0.19,-9.034439087
58,78.69490814,88.46669006,1,0.95,0.05,-9.771781921
59,78.31285095,88.40825653,1,1,0,-10.09540558
60,77.43120575,88.45754242,1,0.8,0.2,-11.02633667
61,78.68721771,88.52227783,1,0.81,0.19,-9.83506012
62,78.26622009,88.45085907,1,0.96,0.04,-10.18463898
63,78.19168091,88.53972626,1,1,0,-10.34804535
64,64.94135284,65.19815826,0.66,0.27,0.39,-0.25680542
65,56.60038757,58.26038742,0.2,0.26,-0.06,-1.659999847
66,54.21616364,59.46287918,0.23,0.39,-0.16,-5.246715546
67,54.76304245,58.54753494,0.2,0.37,-0.17,-3.784492493
68,55.53562927,61.13647461,0.14,0.16,-0.02,-5.600845337
69,54.91863251,58.94483185,0.15,0.26,-0.11,-4.026199341
70,54.82609177,58.95674896,0.2,0.34,-0.14,-4.130657196
71,53.44274139,58.85928726,0.2,0.4,-0.2,-5.416545868
72,57.27002335,63.05104828,0.16,0.22,-0.06,-5.781024933
73,57.52192307,62.45791626,0.2,0.29,-0.09,-4.935993195
74,56.70804977,61.685215,0.33,0.47,-0.14,-4.977165222
75,58.59985733,62.08451843,0.4,0.57,-0.17,-3.484661102
76,60.55374527,65.91073608,0.33,0.25,0.08,-5.356990814
77,60.91956711,66.1619339,0.3,0.37,-0.07,-5.242366791
78,61.30971909,65.55699921,0.43,0.52,-0.09,-4.247280121
79,61.69759369,66.32928467,0.8,0.84,-0.04,-4.631690979
80,64.41692352,69.26722717,0.39,0.29,0.1,-4.85030365
81,63.22431183,69.17123413,0.36,0.4,-0.04,-5.946922302
82,64.44784546,69.19245911,0.57,0.54,0.03,-4.744613647
83,66.1415863,68.48522949,0.96,0.87,0.09,-2.343643188
84,68.41905975,71.11962128,0.42,0.34,0.08,-2.700561523
85,67.45314026,71.34244537,0.49,0.45,0.04,-3.889305115
86,67.27787018,71.29090118,0.66,0.58,0.08,-4.013031006
87,68.63798523,71.50170135,1,0.9,0.1,-2.863716125
88,70.35601807,74.36211395,0.65,0.38,0.27,-4.006095886
89,69.07296753,74.19709778,0.59,0.47,0.12,-5.124130249
90,68.91120911,74.1725769,0.84,0.61,0.23,-5.261367798
91,69.80029297,74.4128418,1,0.99,0.01,-4.612548828
92,70.0542984,76.23178101,0.59,0.44,0.15,-6.177482605
93,70.12607574,76.33653259,0.75,0.53,0.22,-6.210456848
94,70.65503693,76.18972778,0.93,0.66,0.27,-5.534690857
95,72.37521362,75.92868042,1,1,0,-3.553466797
96,74.59643555,76.99703979,0.78,0.53,0.25,-2.400604248
97,72.4200058,77.58059692,0.82,0.6,0.22,-5.160591125
98,72.27549744,76.88317871,1,0.7,0.3,-4.607681274
99,74.24353027,77.53136444,1,1,0,-3.287834167
100,74.59829712,79.62085724,0.85,0.58,0.27,-5.02256012
101,76.91690063,79.49253082,1,0.63,0.37,-2.575630188
102,74.88793945,79.66750336,1,0.73,0.27,-4.779563904
103,76.50258636,79.36975098,1,1,0,-2.867164612
104,78.68422699,81.15811157,1,0.67,0.33,-2.473884583
105,75.82404327,81.26578522,1,0.69,0.31,-5.441741943
106,75.91030884,81.32152557,1,0.82,0.18,-5.411216736
107,76.72441101,80.9657135,1,1,0,-4.24130249
108,77.41822815,82.77775574,1,0.63,0.37,-5.359527588
109,79.31567383,82.69145203,1,0.73,0.27,-3.375778198
110,79.42391968,82.81942749,1,0.88,0.12,-3.395507813
111,79.6257782,83.02346802,1,1,0,-3.397689819
112,78.96875,84.66024017,1,0.73,0.27,-5.691490173
113,79.26381683,84.63762665,1,0.82,0.18,-5.373809814
114,79.45307159,84.68366241,1,0.9,0.1,-5.23059082
115,79.64395142,84.61081696,1,1,0,-4.96686554
116,79.76010132,84.78092957,1,0.76,0.24,-5.020828247
117,79.69073486,84.59918213,1,0.82,0.18,-4.908447266
118,79.5615387,84.62149811,1,0.91,0.09,-5.059959412
119,78.2483139,84.53729248,1,1,0,-6.288978577
120,80.24142456,84.77250671,1,0.77,0.23,-4.531082153
121,79.48822021,84.55116272,1,0.81,0.19,-5.062942505
122,79.48338318,84.76733398,1,0.91,0.09,-5.283950806
123,79.6139679,84.45913696,1,1,0,-4.845169067
124,79.53056335,84.74324036,1,0.74,0.26,-5.212677002
125,76.94234467,84.42963409,1,0.8,0.2,-7.487289429
