pitch,vel,dur,db(lab),db(audi),duration(lab),duration(audi),db(lab) - db(audi),dur(lab) - dur(audi)
21,1,0.1,57.680687,57.6475,0.18,0.14,0.033187,0.04
22,1,0.1,63.76532,57.209625,0.32,0.13,6.555695,0.19
23,1,0.1,63.0112,54.889183,0.22,0.11,8.122017,0.11
24,1,0.1,61.09427,58.237354,0.19,0.12,2.856916,0.07
25,1,0.1,60.258423,54.54801,0.25,0.11,5.710413,0.14
26,1,0.1,58.95478,56.19795,0.11,0.11,2.75683,0
27,1,0.1,60.486862,58.70566,0.29,0.11,1.781202,0.18
28,1,0.1,61.7928,58.807564,0.34,0.13,2.985236,0.21
29,1,0.1,61.53897,45.47396,0.24,0.11,16.06501,0.13
30,1,0.1,58.710735,56.73605,0.29,0.12,1.974685,0.17
31,1,0.1,61.759335,61.174515,0.29,0.16,0.58482,0.13
32,1,0.1,59.74369,58.667862,0.22,0.11,1.075828,0.11
33,1,0.1,61.948105,55.308136,0.22,0.11,6.639969,0.11
34,1,0.1,63.011642,56.300106,0.34,0.12,6.711536,0.22
35,1,0.1,60.433575,58.480766,0.26,0.11,1.952809,0.15
36,1,0.1,59.03321,49.512512,0.18,0.11,9.520698,0.07
37,1,0.1,56.46448,58.50732,0.14,0.13,-2.04284,0.01
38,1,0.1,53.154552,54.7001,0.13,0.11,-1.545548,0.02
39,1,0.1,58.378876,55.712254,0.2,0.11,2.666622,0.09
40,1,0.1,62.835136,55.88788,0.3,0.11,6.947256,0.19
41,1,0.1,61.588272,51.15674,0.17,0.11,10.431532,0.06
42,1,0.1,56.652985,56.510452,0.22,0.15,0.142533,0.07
43,1,0.1,61.857204,51.78884,0.28,0.11,10.068364,0.17
44,1,0.1,58.6808,58.706146,0.24,0.14,-0.025346,0.1
45,1,0.1,59.811653,53.88579,0.18,0.12,5.925863,0.06
46,1,0.1,56.640507,52.738884,0.25,0.11,3.901623,0.14
47,1,0.1,58.67915,55.17615,0.25,0.11,3.503,0.14
48,1,0.1,57.42623,58.015728,0.19,0.12,-0.589498,0.07
49,1,0.1,58.390762,54.259148,0.21,0.11,4.131614,0.1
